Energy (eV), Intensity (a.u.)
1.393312604909350050e+00,1.462830087418845437e+02
1.393379975102390089e+00,1.304604447304786277e+02
1.393447542848599952e+00,1.344090323593106007e+02
1.393515115582079966e+00,1.304476399881365580e+02
1.393582696435700097e+00,1.462561266929152737e+02
1.393650283844529936e+00,1.343879224633149647e+02
1.393717877809530048e+00,1.264759709236413983e+02
1.393785573896900054e+00,1.422774946857899181e+02
1.393853085411830062e+00,1.264644295014543616e+02
1.393920699051049983e+00,1.620136814122519695e+02
1.393988413276229910e+00,1.462025149485356508e+02
1.394056040045489997e+00,1.224978266709208299e+02
1.394123673376649997e+00,1.224926891894888854e+02
1.394191313270650046e+00,1.343316315820098907e+02
1.394259055358660016e+00,1.224824119037792087e+02
1.394326708390509983e+00,1.224772712753576229e+02
1.394394367988069927e+00,1.303643950259301789e+02
1.394462129810370099e+00,1.343034902966144273e+02
1.394529896650559930e+00,1.540207853718911792e+02
1.394597575969430014e+00,1.461221239910176735e+02
1.394665453229740004e+00,1.382259848695287872e+02
1.394733145707230060e+00,1.224464339345804689e+02
1.394800940460729999e+00,1.421529917127657541e+02
1.394868646091389941e+00,1.303195684393222393e+02
1.394936454018570027e+00,1.303131629366634741e+02
1.395004268538690084e+00,1.421280962244861144e+02
1.395072088083159967e+00,1.460596137440509494e+02
1.395139820040800060e+00,1.381723174280364219e+02
1.395207654336029890e+00,1.145333351774220603e+02
1.395275590997729909e+00,1.224052969708227181e+02
1.395343438496789990e+00,1.224001530662980883e+02
1.395411196806229936e+00,8.302840254382418550e+01
1.395479153291989904e+00,1.381339831433657253e+02
1.395547116397030107e+00,1.302555178550730375e+02
1.395614894489719982e+00,1.184448033203839969e+02
1.395682870817559929e+00,1.420451234815393491e+02
1.395750756361560097e+00,1.223692769477427476e+02
1.395818745925230031e+00,1.144983715773928452e+02
1.395886646259399955e+00,1.459524785688910811e+02
1.395954553199999948e+00,1.302170741164026424e+02
1.396022562620230056e+00,1.144867034966294739e+02
1.396090578667489979e+00,1.341346150281837595e+02
1.396158505451770004e+00,1.223383843105535078e+02
1.396226534746620063e+00,1.341205355447380043e+02
