Energy (eV), Intensity (a.u.)
1.393312604909350050e+00,1.305355839999998580e+02
1.393379975102390089e+00,1.131308439999998257e+02
1.393447542848599952e+00,1.131127159999998213e+02
1.393515115582079966e+00,1.565925299999998117e+02
1.393582696435700097e+00,1.565674439999997958e+02
1.393650283844529936e+00,1.478455659999997920e+02
1.393717877809530048e+00,1.391264799999997592e+02
1.393785573896900054e+00,1.391041879999997661e+02
1.393853085411830062e+00,1.564671479999997814e+02
1.393920699051049983e+00,1.564420919999997750e+02
1.393988413276229910e+00,1.216576919999997415e+02
1.394056040045489997e+00,8.688442999999973892e+01
1.394123673376649997e+00,1.216187219999997353e+02
1.394191313270650046e+00,1.737131959999997264e+02
1.394259055358660016e+00,5.210561399999971854e+01
1.394326708390509983e+00,1.215602879999997015e+02
1.394394367988069927e+00,1.389037939999996922e+02
1.394462129810370099e+00,1.128412559999996887e+02
1.394529896650559930e+00,1.648954159999996989e+02
1.394597575969430014e+00,1.041277919999996584e+02
1.394665453229740004e+00,9.543518799999964131e+01
1.394733145707230060e+00,1.821652679999996280e+02
1.394800940460729999e+00,9.540462399999961463e+01
1.394868646091389941e+00,9.538934399999959624e+01
1.394936454018570027e+00,1.473962859999996056e+02
1.395004268538690084e+00,8.668980399999956887e+01
1.395072088083159967e+00,1.473490599999995538e+02
1.395139820040800060e+00,1.473254699999995410e+02
1.395207654336029890e+00,9.531297399999952802e+01
1.395275590997729909e+00,1.905954279999995151e+02
1.395343438496789990e+00,1.212685699999994853e+02
1.395411196806229936e+00,1.472311099999994610e+02
1.395479153291989904e+00,7.793339599999943346e+01
1.395547116397030107e+00,1.558418279999993956e+02
1.395614894489719982e+00,1.038779139999993930e+02
1.395682870817559929e+00,1.298265999999993880e+02
1.395750756361560097e+00,7.788348399999934202e+01
1.395818745925230031e+00,1.124803459999993152e+02
1.395886646259399955e+00,1.211132819999993018e+02
1.395954553199999948e+00,1.902903899999992632e+02
1.396022562620230056e+00,1.210744939999992482e+02
1.396090578667489979e+00,1.469954839999992373e+02
1.396158505451770004e+00,1.123903039999991762e+02
1.396226534746620063e+00,1.728804779999991865e+02
1.396294474761760052e+00,1.469248659999991276e+02
1.396362517308070039e+00,1.987488699999991013e+02
1.396430566486239977e+00,1.209581979999990438e+02
1.396498620724490047e+00,1.727697599999990246e+02
1.396566683169129908e+00,1.468307639999989647e+02
1.396634752248540057e+00,1.899858699999989256e+02
1.396702827963689941e+00,1.467837519999988842e+02
1.396770910315549896e+00,1.035954659999988507e+02
1.396838903320640091e+00,1.812630319999988160e+02
1.396907094933270033e+00,1.467132419999987860e+02
1.396975197201069996e+00,9.491689399999872023e+01
1.397043306109470029e+00,1.552936859999986723e+02
1.397111517681330017e+00,1.293906699999986074e+02
1.397179543851930106e+00,1.293699499999985392e+02
1.397247768728560047e+00,1.724656519999985278e+02
1.397315904218410010e+00,1.896818379999984643e+02
1.397384142413079955e+00,1.810309439999983852e+02
1.397452289629280031e+00,1.465253899999983105e+02
1.397520541145740092e+00,9.479536399999825846e+01
1.397588703241819941e+00,1.550948479999981942e+02
1.397656871987249971e+00,1.636850119999980961e+02
1.397725239595519975e+00,9.474983199999803674e+01
1.397793421661309932e+00,1.636325839999979905e+02
1.397861706504410106e+00,1.463846579999978701e+02
1.397929998019519893e+00,1.205327679999978159e+02
1.397998296207620061e+00,8.608104799999770762e+01
1.398066601069680059e+00,2.151681679999976495e+02
1.398134912606699976e+00,1.376855779999975198e+02
1.398203134647620027e+00,1.376635279999974273e+02
1.398271459528060090e+00,1.118337019999973307e+02
1.398339791086389949e+00,1.548218679999972380e+02
1.398408225523789961e+00,8.599837399999712773e+01
1.398476474240599954e+00,1.203784479999970216e+02
1.398544922057469941e+00,1.203591699999969080e+02
1.398613280346520105e+00,1.289356079999967903e+02
1.398681645318349931e+00,1.375092919999966341e+02
1.398750016973939969e+00,1.203013619999965158e+02
1.398818491570950062e+00,7.732421199999637906e+01
1.398886876606409979e+00,1.288530419999962362e+02
1.398955268328579971e+00,1.631877139999960775e+02
1.399023666738429927e+00,1.631615899999959254e+02
1.399092264425640053e+00,1.116190039999957690e+02
1.399160676232630074e+00,1.030164259999956045e+02
1.399229191043459997e+00,9.441660399999543074e+01
1.399297614663060019e+00,1.201473459999952382e+02
1.399366142886210085e+00,1.544504239999950812e+02
1.399434677821800088e+00,1.372672879999948918e+02
1.399503123119880010e+00,1.286674799999946686e+02
1.399571671473859968e+00,7.718812599999445467e+01
1.399640226543239940e+00,2.058020319999942274e+02
1.399708884708249945e+00,1.457530979999939973e+02
1.399777356832119901e+00,8.572338799999377557e+01
1.399845932053590092e+00,1.628483579999935102e+02
1.399914513994410026e+00,1.456831059999932734e+02
1.399983102655560030e+00,1.456597739999930070e+02
1.400051794464509891e+00,1.285027459999926975e+02
1.400120300142799978e+00,1.370476539999924341e+02
1.400189005416240029e+00,1.798462519999921199e+02
1.400257620978039963e+00,8.562735799999181552e+01
1.400326339729420111e+00,1.284204719999914630e+02
1.400394968752209923e+00,1.283999019999911297e+02
1.400463604502250048e+00,8.558623599999080511e+01
1.400532246980529916e+00,6.845802399999043075e+01
1.400600992690189894e+00,1.711176599999900816e+02
1.400669746731159959e+00,1.539812319999896602e+02
1.400738409419179931e+00,1.197440099999892595e+02
1.400807175369960023e+00,1.368283839999888301e+02
1.400875948072880073e+00,8.550405199998839123e+01
1.400944630979410022e+00,1.624316859999879341e+02
1.401013417180100085e+00,6.838133999998743207e+01
1.401082210135909945e+00,6.837039199998693562e+01
1.401150913269880061e+00,1.538087459999864279e+02
1.401219719729430047e+00,9.397917999998588812e+01
1.401288532947090104e+00,1.195907219999853055e+02
1.401357449530260091e+00,8.540826399998474017e+01
1.401426179660689941e+00,1.622497259999841219e+02
1.401495109784020032e+00,1.536856539999834865e+02
1.401563853418650085e+00,9.390397599998283340e+01
1.401632797086149962e+00,1.451010899999821504e+02
1.401701650882829941e+00,4.266995999998143674e+01
1.401770511444599965e+00,7.679362399998068156e+01
1.401839378772439915e+00,2.132814779999798986e+02
1.401908252867350102e+00,1.535380859999791028e+02
1.401977327114130034e+00,1.790990759999782824e+02
1.402046214765179988e+00,1.790704039999774295e+02
1.402115109186309994e+00,9.378376799997650437e+01
1.402184010378509926e+00,1.363909139999755666e+02
1.402253015072699949e+00,9.375373799997458946e+01
1.402322026558979973e+00,1.959991599999735570e+02
1.402390948089389910e+00,1.107644039999725152e+02
1.402459973153340034e+00,9.370871799997142659e+01
1.402529005012399965e+00,1.447993779999702610e+02
1.402598045254080050e+00,2.043899239999690849e+02
1.402667090706499975e+00,1.617827919999678556e+02
1.402736046160439898e+00,1.106757659999665577e+02
1.402805105200559899e+00,1.702431479999652026e+02
1.402874074225159973e+00,1.702158959999637773e+02
1.402943243682170049e+00,1.531697699999623694e+02
1.403012323125659933e+00,1.191129759999608524e+02
1.403081409372280097e+00,6.805365799995928455e+01
1.403150599276850041e+00,1.360855259999576390e+02
1.403219602278950040e+00,1.360637519999559402e+02
1.403288708940999996e+00,1.360419619999541965e+02
1.403357919292639977e+00,1.105163959999523371e+02
1.403427039579550062e+00,1.189986039999504186e+02
1.403496166675630041e+00,1.019824759999484201e+02
1.403565300581880004e+00,1.614464119999463776e+02
1.403634636729440111e+00,1.019498299999441997e+02
1.403703687348119900e+00,1.444057919999419255e+02
1.403773035580140105e+00,1.104102859999396173e+02
1.403842099816660083e+00,1.528513039999371870e+02
1.403911364767000070e+00,1.528268279999346646e+02
1.403980636552679906e+00,9.337922599993203221e+01
1.404049915174720109e+00,1.358025819999292878e+02
1.404119200634120102e+00,1.612397459999264697e+02
1.404188492931899956e+00,1.187892159999234849e+02
1.404257695062359979e+00,1.357373659999204278e+02
1.404327002620789910e+00,1.866090079999171962e+02
1.404396315430360032e+00,1.102513039999138726e+02
1.404465635082349895e+00,9.327463599991040155e+01
1.404534961577790009e+00,1.695630959999067784e+02
1.404604294917680019e+00,2.119199379999030270e+02
1.404673538038859970e+00,1.610333699998991221e+02
1.404742982134880025e+00,9.321491999989507349e+01
1.404812336014219953e+00,1.779272619998908453e+02
1.404881696742060093e+00,1.524846639998864646e+02
1.404951161421970074e+00,9.317015799988185165e+01
1.405020537451469931e+00,1.524358519998771158e+02
1.405089918740680011e+00,1.778133539998721346e+02
1.405159404013790025e+00,1.354551539998669796e+02
1.405228799018749974e+00,1.777564399998616125e+02
1.405298298028839987e+00,1.184853219998560405e+02
1.405367706753620105e+00,1.438520059998502063e+02
1.405437219504769963e+00,6.768421999984418846e+01
1.405506739132780014e+00,1.268875959998378988e+02
1.405576170042980078e+00,8.457819399983137032e+01
1.405645703418320069e+00,1.268469779998245599e+02
1.405715243673600012e+00,1.352817839998174634e+02
1.405784693592009971e+00,1.268063659998101258e+02
1.405854247600579976e+00,1.690480959998024559e+02
1.405923711255099962e+00,1.859231259997945074e+02
1.405993376267689943e+00,1.689939719997862255e+02
1.406062853672009894e+00,1.858636159997776076e+02
1.406132534069459927e+00,1.435988919997685969e+02
1.406202122503340091e+00,7.601077199975925680e+01
1.406271815110490042e+00,1.604414979997495436e+02
1.406341320036420095e+00,1.435299379997394453e+02
1.406410929137670074e+00,1.350653839997289083e+02
1.406480642444150053e+00,1.519242239997179809e+02
1.406550265338389893e+00,1.265832519997066186e+02
1.406619896721480023e+00,2.025007939996947925e+02
1.406689533403330028e+00,1.265427319996824735e+02
1.406759274333079901e+00,1.771314699996696334e+02
1.406828924816120097e+00,1.518026579996563044e+02
1.406898679568409971e+00,1.602104939996424378e+02
1.406968441238330092e+00,1.939079739996280125e+02
1.407038015044449919e+00,1.601592099996130401e+02
1.407107792130150026e+00,1.264212419995974130e+02
1.407177574539999920e+00,1.432544699995811470e+02
1.407247266451409962e+00,1.600823059995642552e+02
1.407317160125989952e+00,1.095124659995466629e+02
1.407386963304189997e+00,1.347629999995283754e+02
1.407456675958040027e+00,1.347414239995093510e+02
1.407526592033830015e+00,8.419991399948955291e+01
1.407596318521280088e+00,1.515355839994689688e+02
1.407666149395520039e+00,1.683459159994475556e+02
1.407735987198730054e+00,1.514870599994252984e+02
1.407805831931929985e+00,1.262190179994021264e+02
1.407875683596170102e+00,1.346120599993780331e+02
1.407945543791099929e+00,1.261786039993529585e+02
1.408015409320640066e+00,1.682112119993268777e+02
1.408085379320570096e+00,1.261382139992997082e+02
1.408155258729069992e+00,1.513416299992714755e+02
1.408225145073759954e+00,1.345043639992421447e+02
1.408295137520430007e+00,1.344828179992115906e+02
1.408365037750449966e+00,1.008459699991798288e+02
1.408434944919759957e+00,1.512447499991468192e+02
