Energy (eV), Intensity (a.u.)
1.500089999999999923e+00,6.247711352144373222e+02
1.500173999999999896e+00,7.120921567303406619e+02
1.500259000000000009e+00,6.084469211523436343e+02
1.500343999999999900e+00,6.088214679586624243e+02
1.500429000000000013e+00,6.854304991840697312e+02
1.500512999999999986e+00,6.337653145118694056e+02
1.500598000000000098e+00,5.612523553930029721e+02
1.500682999999999989e+00,5.718898468014588161e+02
1.500768000000000102e+00,5.305201131607409479e+02
1.500852999999999993e+00,5.272315788252770972e+02
1.500936999999999966e+00,5.031651684065518566e+02
1.501022000000000078e+00,5.517525275463606249e+02
1.501106999999999969e+00,5.691267220790057308e+02
1.501192000000000082e+00,5.968433964332167534e+02
1.501276999999999973e+00,5.587514691465320311e+02
1.501362000000000085e+00,6.002283049023217245e+02
1.501446999999999976e+00,5.759127995674274416e+02
1.501532000000000089e+00,5.861619312301368154e+02
1.501616999999999980e+00,6.102049902387725524e+02
1.501702000000000092e+00,6.376598812406114121e+02
1.501786999999999983e+00,6.477778062214179045e+02
1.501872000000000096e+00,5.679648775453015332e+02
1.501956999999999987e+00,5.365318089951863385e+02
1.502042000000000099e+00,4.808762898136005219e+02
1.502126999999999990e+00,5.979768197440753283e+02
1.502212000000000103e+00,6.078939940728545253e+02
1.502296999999999993e+00,6.212217306712148002e+02
1.502382000000000106e+00,6.724969420380866723e+02
1.502466999999999997e+00,6.650078863432866001e+02
1.502552000000000110e+00,6.264049394710363003e+02
1.502637000000000000e+00,6.775300730640947222e+02
1.502721999999999891e+00,6.043374985681782618e+02
1.502807000000000004e+00,5.656372652769229035e+02
1.502893000000000034e+00,6.648796945485780725e+02
1.502977999999999925e+00,6.295463812892842270e+02
1.503063000000000038e+00,4.872499397134005221e+02
1.503147999999999929e+00,4.794613099767157678e+02
1.503233000000000041e+00,5.854249953145982772e+02
1.503319000000000072e+00,6.050665646390989423e+02
1.503403999999999963e+00,6.695210598793862573e+02
1.503489000000000075e+00,6.236189129775560787e+02
1.503573999999999966e+00,6.603921669819151248e+02
1.503659999999999997e+00,6.281460725285531908e+02
1.503745000000000109e+00,6.854856838674136270e+02
1.503830000000000000e+00,7.978712455736920219e+02
1.503916000000000031e+00,6.449469701247417106e+02
1.504000999999999921e+00,6.435832316667286932e+02
1.504086000000000034e+00,6.593873503930593643e+02
1.504172000000000065e+00,7.232738698971323856e+02
1.504256999999999955e+00,5.978616312250387637e+02
1.504342000000000068e+00,6.685813343046394266e+02
1.504428000000000099e+00,6.841259476610953243e+02
1.504512999999999989e+00,7.615934182087446516e+02
1.504599000000000020e+00,7.907786667744863962e+02
1.504683999999999910e+00,7.099236606492959254e+02
1.504769999999999941e+00,8.696628165922942344e+02
1.504855000000000054e+00,8.677905926964572245e+02
1.504941000000000084e+00,7.111395228638532444e+02
1.505025999999999975e+00,7.332515250295311944e+02
1.505112000000000005e+00,7.311934848500405906e+02
1.505196999999999896e+00,6.329559677361403374e+02
1.505282999999999927e+00,6.445539391323409291e+02
